,content
360,"He said he weren't welcome and despite the place being empty, it was a condition of their licensing laws"
361,"First time I've been refused two glasses of Sprite in a hotel bar! So, back down to the reception where the chap who said it was fine apologised profusely"
362,Apparently if my son had been 13 rather than 12 it would have been fine
363,I lodged a complaint as I've never been humiliated like it by a hotel bar in my life
364,Another more sympathetic member staff agreed that it was outrageous
365,On the Friday night I was in it there does seem to be a thread common in other reviews
366,"Staff are unnecessarily rude and customers (including hotel guests,) are treated like we are lucky to be there"
367,Skyline is spectacular but if you want to be treated like a human being try AquaShard
368,A horrible experience and one that really took the shine off a wonderful hotel
369,
370,The staff are incredibly rude and make the prices up as they go along
371,"Avoid, it's not as good as the staff think they they are.....We were there last night and the entire staff force were some of the rudest people we have ever had the misfortune to be ""served"" by"
372,At the door the front of house had the snottiness attitude and was not the least bit welcoming
373,The bar staff had unwarranted attitude and were argumentative at every opportunity irrespective of the amount of money we were spending
374,"They had the utter nerve to keep changing the prices of our drinks because the menus were in the ""process of being updated""! Here's a tip, update the menus and THEN put them on the tables! Don't tell your staff to come up with rough numbers and then get aggressive when we state our basic consumer rights..."
375,Unfortunately we have to return here in a few weeks for a corporate event
376,We'll be passing this review to our events team Monday in case there's the possibility of moving to another venue.
377,This place is beautiful but it's a total rip off
378,Firstly the lady on the door didn't want us in the bar
379,We turned up early as booking an area for 2 hours was £600! She said if we could find a table then we could sit at it but she didn't like the idea of 20 people and not sure why as we all have jobs and money! It took a man in our party to get a table for us and then she gave me dirty looks all night
380,The last straw was the prices advertised on the menu were not what we were charged
381,"The prosecco was £10 more! Also they add 20% to your bill when you buy from the bar! Surely this is not legal! We have a company party there in 2 weeks time, I will be very rude when I go back because the staff are up themselves big time!"
382,The bar lounge on level 39 has really lovely panoramic views
383,"Unfortunetly, the service is dreadful"
384,I have never come across such rude staff anywhere in London
385,My colleague's birthday drinks were totally ruined
386,The hostess on level 38 was abrupt with no customer skills
387,I was made feel unwelcome
388,Bar staff on level 39 were even worse
389,On several occasions when trying to buy a drink I was totally ignored
390,After waiting for some time I was told I had to queue somewhere else
391,No further details were given or explained to me
392,Buying a drink each time was such a challenge
393,Settling payments was another issue - each time different prices were applied for the same drink
394,"A tall waiter kept coming to our area throughout the night reminding us how we should have booked a table, despite half of the reserved ones being empty"
395,I don't understand why would you want to turn spending clients away when the place is half empty
396,The overall experience was very disappointing
397,"As an employee based in Canary Wharf, I was very excited about the opening of this venue"
398,"I thought it would be great for team outings, Friday drinks, leaving parties, etc"
399,There is no way I'm coming backing to Bokan and will not recommend to it to anyone in Canary Wharf
400,"When you charge premium prices for food, drinks and service, you just have to do better than my last night's experience."
401,Such a shame that what could be a great venue is totally ruined by the attitude of the staff- This included adding unjustified charges and being offensively rude
402,One to avoid
403,What an awful place
404,"The staff were hopeless, took forever to take our order and serve us"
405,"To top it off, they actually ruined my birthday surprise that was arranged for me by my friend"
406,They did this twice by asking him if I wanted dessert or should they bring the cake out!!! Talk about incompetence
407,Yet they wanted a form filling in prior to attending which was done in great detail
408,Clearly they don't communicate with each other
409,Now they are ignoring our email complaint which has been outstanding for 2 weeks
410,Avoid it and go elsewhere.
411,Myself and my girlfriend have eaten at the restaurant a few times and also regular users of the bar and we have even booked New Year's Eve there
412,We decided to take two friends of ours for a drink for the first and although we didn't make a reservation we went upon arriving we was told all the tables are full which we accepted and went to have a drink at the bar whilst waiting for our drinks someone left and a table become available which we sat down to enjoy the bottle of wine and also cocktails we ordered
413,We was then approached by Julia who should not be working front of house and rudely said you cannot sit there even though there was no one else to take the table at the time truly disgusted with her attitude and really had put he of going to what is in theory my local bar I suggest Mondrian at London Bridge there rumpus room bar is a lot more better run with friendly staff.
414,I visited Bokan on Friday night for a few drinks in your rooftop bar (39) with a few friends for one of their Birthdays
415,We were always going out after but really wanted to visit this place as it has of course recently opened and looked amazing
416,"When we arrived we were a little early so fully understandable that the table wasn’t ready but saying that, I called a good 30 mins before we was going to arrive and whoever answered the phone said the table was already ready"
417,We stood there awkwardly in everyone’s way by the entrance for a good 10 minutes waiting for someone to simply wipe down the table and clear the glasses so we could take a seat
418,"As we finally got taken over to the table 3 of the 5 of us take a seat and 2 of us left standing as there was only 3 chairs when the booking was for 5! As your waiter frantically panicked looking for 2 chairs, lucky another table offered us their 2 stools as your waiter came back saying he couldn’t find any"
419,By now you can imagine I wanted to just get up and leave due to the shambles going on around me
420,"Couldn’t get a table with enough chairs, could just about get my table and everyone seemed a little too busy to listen to what I was saying or to help"
421,Seemed a little under staffed to me.Finally we are at the table and 15 minutes later we get given the menu so we can order a drink
422,"After waiting another 20 mins for her to come back and take our order, we sat there patiently and waited for our drinks"
423,By now I wondered if they were ever going to turn up but eventually they did
424,"I didn’t think it took that long to make a drink, we didn’t even order food! Again, must have been understaffed as it wasn’t particularly busy but all we have done so far is wait"
425,Extremely inattentive.The drinks finally arrive! I have ordered my favourite cocktail (that isn’t even on the menu) a Pornstar Martini
426,"At first glance is looked amazing and by now I was so thirsty I was ready to drink it in 1! I sat there and thought, this is going to be so good and make up for the experience we have had so far, but…"
427,It was rancid
428,"I don’t know if your bar staff have ever had a pornstar martini anywhere else but I have never had such a sour tasting, dry, small pornstar martini in my life"
429,"Even the prosecco on the side was again, extremely dry and sour to the taste"
430,"I would never order a Pornstar Martini from here ever again, even worse that one I have had from the likes of Be At One or All Bar One and this is supposed to be an amazing rooftop bar competing with the likes of Radio Rooftop and Rumpus Rooms and it was just not even comparable"
431,"Id compare it from my experience so far to my local Weather Spoons.Right, ive had enough, we are leaving, attic bar is around the corner and ive been there before and know it is a safe bet"
432,This is me trying to salvage what dignity I have left as I have recommended this to everyone and booked it for a friends Birthday and it was just a shambles
433,"Trying my best to keep spirits high as everyone looks like they have just had enough and want to go home.I manage to finally get hold of someone to get my bill as no one is giving eye contact so unless you chase after them, you are out of luck"
434,"I hand over this little business card that you get free at the front with a little number on it to get my card back (cant even supply the plastic tabs) and 10 minutes later get my card, and guess what? The completely wrong receipt.You literally managed to give me my card back with someone’s else’s receipt order"
435,"You can imagine how this looks, you could have given my card to the right person or if I hadn’t have checked it, I would have paid nearly a £300 bill for my 5 drink order.I flag this up immediately to get my correct receipt"
436,With this one I ask politely to take the service charge off my receipt as I refuse to pay 12.5% for what was terrible service
437,Your waiter comes back with yet another receipt
438,This time it is our order but there appears to be an extra bottle of Rose wine on there! Again not what I ordered
439,"Like how bloody hard isit to print a receipt out of what we ordered on our tab with our table number? Obviously very difficult.This isn’t the end though, here comes the embarrassing bit your end"
440,"When she (the original guy was obviously too embarrassed to come over) comes over to take the payment she asks ‘Why do you not want to pay the service’, I hate to say it as I am not a rude person, but I laughed in her face, I said you cant prepare a table with 5 chairs, cant put correct orders onto a receipt and im surprised I even got my bank card back"
441,And you want me to pay you for this? She stood there stunned and said ‘the company make us ask’
442,If this is true then you should be ashamed of yourselves
443,You charge good money for drinks alone but then expecting me to pay the extra 12.5% for the worst service I have ever received
444,I have received better service ordering a Bic Mac at 4am
445,"It is up to the people paying if they want to pay service charge, hence why it is optional"
446,"To make your staff ask as to why is horrendous, everyone was looking at them and to think that is going to put me on the spot like it would most people, you are very wrong"
447,"I raised my voice and explained exactly why as your other customers listened in, in shock.I don’t know if this was just a bad experience I had or if this is just what to expect from this place"
448,"Big name, great advertising, well set up with amazing views and good money spent on the interior! But as to the service, staff and drinks, unless I see a lot of good reviews go in soon, I don’t think I will be going back or recommending this to any one I know"
449,This just really lowered the mood and pretty much ruined our night when it was supposed to be the highlight!I hope your service will improve so no one else experiences what I did on Friday night.
450,Great venue
451,Brilliant view and really well designed menu....Then the service comes in to play
452,The waitress didn't understand English
453,The food took ages
454,The bottled beers were warmish and the overal experience despite the positives above were marred by the simple fact that the service was third rate.Please tell me why restaurants don't train their staff properly? Or perhaps they are trying to do it on the cheap but with main courses nudging 30 pounds and plenty of pass through clientele they done really need to care I suppose
455,I can't recommend this place
456,Extremely disappointing
457,"Will not be returning or recommending to others.We booked this restaurant for a special occasion, a birthday meal for my boyfriend"
458,"Initially the doorman to the hotel at the entrance tried to turn my boyfriend away despite the fact he was wearing a shirt and trousers, he was also wearing white converse and therefore 'trainers'"
459,"As we were not informed there was a dress code upon booking a table, I have suspicions this could have been because another reason such as his race and nothing to do with what he was wearing"
460,I did look on the website post our visit under their policy section to describe the dress code as .....'Smart casual
461,"No athletic sportswear and shoes, no flip flops, no beach wear"
462,Denim is acceptable
463,The team reserves the right to deny entrance should a guest’s attire and overall presentation not adhere to our dress code.' After making it up to the floor of the restaurant we were then told that as we were now 10 minutes late and therefore could no longer seat us at a table
464,Instead we were told we could have a seat at the bar if we wished
465,"However, as the restaurant was not even half full this seemed unreasonable why staff flat out refused to seat us at a table for lunch"
466,"Needless to say we swiftly left and instead dined at The Big Easy, a few minutes away on the DLR"
467,I suggest that the policy on dress code as well as the cut off for on a booking is explicitly made clear when booking a table so others do not also waste their time.We will not be trekking halfway across London to this establishment again
468,Dreadful.
469,"It is the second time we have visited the Bokan 38, and although the food is amazing, the service once again was very poor.The hostess welcoming us was quite abrupt (on 38, not ground floor), and for the duration of our lunch didn't spare a smile.Our waitress was lovely and smiling, but didn't follow through the lunch: ie after our food was brought (by other people), she reappeared when we were finished to ask if everything was ok"
470,"My husband explained that although the food was excellent, no as I had to go to the bar to ask for cutlery, salt&pepper, and sauce, that half of my club sandwich was cold, and the burgers were just warm"
471,"So she proceeded in telling us that if we wanted a dessert , that would be on the house However, we never saw the menu"
472,"We had asked a second round of drinks to the young lady who served us the food, and not being a waitress, she went to the bar to ask someone to come to the table to take the order...it never happened! I had to go to the bar to check on the order to be told that they didn't have it, to go back to the table that someone would be there shortly.....We had the second round after finishing the food"
473,"Long...too long.However, when we asked for the bill, it comes very quickly with the card machine.What can I say, the view is breath taking and the concept is great, but most of the staff there should have a thorough reminder of what pro-activity and customer service are."
474,After my last dismissal attempt to make a booking i decided to visit unannounced to this well reviewed restaurant
475,It has a number of good reviews but i cannot see why at all
476,"On arrival at the Novotel reception we were greeted by 5 members of staff all carrying IPads wow you may say? they directed us to the bar, but i could not see the reason for their presence as they didn't speak to us we spoke to them, very odd.On exiting the lift to the restaurant area we were met again by a very pretty young female maitre d, thats were that ends, she was confused and couldn't understand why we were there?We left the foyer and approached the bar were by we noticed behind the bar, 2 males picking leaves for garnish, 1 female waitress drinking a glass of wine and another constantly walking around making no eye contact or serving customers, strange we thought in a bar? how do they make money you may well ask.After waiting almost 10 minutes and not being acknowledged, we left and returned to the foyer area"
477,"I approached one of the same five greeters as we entered, and informed her of the extraordinary poor service we received, she apologized turned and carried on talking to the remaining 4 staff, i would love to meet the fool who employed this bunch!!"
478,"As an employer myself, i was horrified to witness such poor customer skills and attitude to customers needs such as food and beverage, thats sarcasm!!, its obvious its not their money at stake, whilst the restaurant has good reviews this is our second time to this cheap rate hotel, this has certainly been reflected in our 2 visits, would i venture there again, no! i live here in Canary Wharf but would not recommend this restaurant or bar"
479,"Whilst tourists may stray unwittingly in, locals beware, its not good, for those who think its good value try Roka, Carluccio's, The Parlour, Plateau or The Manhattan Grill to name just 5 for those of you wishing something big and brash try Big Easy those of you who crave a view, try Nelsons column"
480,I arrived at the restaurant to be told it was closed which was understandable given the 10pm time but was informed that bar snacks were still available
481,I asked for a drink and a club sandwich at the bar and was told to take a seat and someone would take my order.After thirty minutes a waitress noticed I'd been waiting and asked if I would like a glass of water (with a club sandwich please!!) she apologized for not noticing I was there (6 feet 1 and 16 stone) I took the glass of water and she disappeared again.Thirty five minutes without a drink or food order - unfortunate as it seemed to be a great place with a nice atmosphere.
482,"The venue is great, and worth a trip for the view alone, but do not stay to eat or even drink"
483,"It took us half an hour to be seated, with staff ignoring us, and palming us off to other disinterested staff members"
484,"We eventually ordered a bottle of prosecco, which took 45 mins to arrive and 2 trips to ask why it was taking so long"
485,"We ordered a cheese platter to start, and waited almost an hour and half for this to arrive"
486,"We were however given a plate of calamari by way of apology, but we noticed that the only reason for this, was because they had ordered it by mistake, and didn't know what to do with it"
487,The cheese board eventually arrived and was very uninspiring - not worth £20!We decided to go and eat elsewhere as the whole experience was a bit of a joke
488,"We noticed we weren't the only table complaining, as wrong orders were being delivered and people were waiting ages for drinks"
489,The mandatory 12.5% service charge really topped it off
490,Bokan does have a beautiful view of london and very well decorated inside
491,"However, we attended in a large group where we were told we had to order from a set menu"
492,"What was very odd, choices were very limited and cheaper to buy off the a la carte menu"
493,"Portions were very small (agree gourmet food has smaller portions but this was smaller than dishes served at the Dorchester, Oblix etc) and whilst they were presented well, the food was below average vs"
494,similar restaurants and somewhat bland
495,"Service was awful, food was served cold so some dishes were sent back and drinks took forever to serve"
496,We ended up getting up to order from the bar itself
497,If I go back it would only be for drinks and the view
498,"Got to Bokan, 38th floor as we had a drinks table reservation"
499,"Upon reaching they advised it's no problem and to follow the host, to quickly estalishing that they didn't have any tables so we were asked to wait around by a confused hostess ."
500,Initially requesting us to sit in the most empty space with no padded seating even though we'd had a reservation
501,Soon after a hostess places us amongst a group of others
502,The service was that slow that my husband ended up going to the bar himself which again was a completely disorganised
503,"Whilst he was getting the drinks, I was asked to move as the table I was told to sit at was also booked"
504,"At this point, I was pretty mad and my husband and I left shortly after our first drink"
505,Wouldn't return and they really need to sort their booking system / customer service out! I'd dread to think what the restaurant would be like!!
506,The problems started from the moment we stepped in
507,I made a reservation well in advance with request for a window table
508,Instead of that on arrival I was told that we have table allocated at the bar !! After 10-15 minutes of pretended rush by the stuff they found a table not any near the windows
509,probably worth mentioning that there were at least 3 tables available by the windows at the time we enter and left !! We ordered drinks at the bar as we had to wait the team to sort the mistake with the reservation and we got the order wrong twice
510,Not to mention that one person joined minutes later and no one even bother came around to get te drink order.The restaurant food was just OK for the price you pay
511,However it was not explicit that all mains come without any sides and we were not promoted by the waiter to order side
512,It took 45 minutes for the mains to arrive and only then we realise that they don't come with sides hence we needs up eating without any
513,Also it was greatly disappointing to see that they added 12.5% service charge which is not discretionary as I have noticed they claim to be in other reviews
514,For the service I received I would not have bothered paying any tip but they have made sure thy get what they want by the mandatory service charge
515,Also they have to think about te dress code for this place if they don't want to turn it to Local Nando's - quite a few people were dressed not so appropriately for this type of establishment - to put it into perspective it is not very pleasant to see some customers with low hanging jeans and revealed bottoms .Overall it is worth no more than an overpriced observation deck
516,Perhaps the Hal price offer at the begging might have attracted the wrong crowd and established this venue as mediocre
517,
518,We visited on Friday 17th March and that will probably be the last time
519,We arrived happy
520,Full of joy
521,"It was Friday, St Patrick's day"
522,Spring is not far away and all was right in the world
523,Now the concept is great and the decor in keeping with the name and the appeal of this bar and restaurant
524,And as for the view - fantastic! Wonderful! Terrific! The welcome was warm and inviting and we were given a table by the window and all seemed well
525,How we laughed and joked and smiled
526,But then it all came crashing down faster than Lehman Brothers in 2008
527,And it came down to the crucial element of any hospitality establishment - service and quality of the product
528,And I am afraid both were as terrible as each other
529,We were seated at just after 6pm
530,Drinks menu presented to us just over five minutes later
531,A bit slow but no problem as admiring the view and taking it all in
532,Still happy
533,Still smiling
534,Our order was taken 15 minutes later
535,Now that is slow
536,Not even in a pre cursory check after five minutes to see if we were ready
537,But still smiling
538,"Great company, great view and it's a Friday - what's the rush?! So now it is around 6.20pm"
539,Our drinks arrived just after 7
540,Not so happy
541,We were asked by three different people if we had ordered in that time and the original waitress came over at around 6.45 to say our drinks were on our way
542,That was just a lie really
543,If you are going to lie to me at least do it in a way that makes it believable at least
544,And preferably not when I am starting to dehydrate
545,(Yes not even a water was offered at this time - I am 38 floors up - I can't go find water for myself
546,I am not Bear Grylls!) But at least we have a drink! Sound the trumpets! Now let's hope they are worth the wait
547,They were not
548,Sigh
549,As for the cocktails themselves they were below average and not worth the money
550,It appears the alcohol may have been mixed with a Thames Water special but who am I to say? However they may have been tainted by the terrible service we had received
551,But fortunately we were compensated - by a small bowl of crisps
552,No offer of anything else and quite insulting really that it was deemed a bowl of crisps which cost no more then 10-15p at wholesale price was more than adequate as compensation for the 45 minute wait for two drinks
553,At least we wouldn't die of hunger
554,Amazingly we didn't fancy losing another hour of our lives waiting for another 'just serve it up and give it to them drink' so decided to leave
555,"Then, as for the cherry on this proverbial soggy bottomed cake (Mary would not be happy!), we had to go to the bar ourselves to pay the bill and, as our card was behind there to open the tab, it was automatically charged without us having a view of the bill let alone the chance to dispute anything on their including the 12.5% service charge! Thank the lord for that bowl of crisps! So in conclusion if you want to lose water weight before a bodybuilding competition come here"
556,Otherwise you are better off in other sky bars across London
557,And don't give them your card!
558,"We sat in the bar area for a light business lunch, after waiting 20 minutes the waitress took our drinks order, she was clearly new and nervous, this wasn't the problem but the 30 minutes then waiting again to order food was frustrating, then 20 minutes for the food to come, I received to orders of my meat board, I had to ask the restaurant receptionist for the bread, my colleague had ordered soup of the basis that cream was not in it, due to a dairy intolerance, unfortunately this was not the case"
559,"A 25 minute wait for the coffees was the final straw, as a local business we were hoping for a fabulous restaurant nearby for lunches, not many companies allow for a 2 hour lunch break, the views are the only thing that impressed.."
560,really disappointed 
561,"I am coming very often at Bokan with my friends and always had a great experience, nice cocktails and friendly staff"
562,However yesterday evening we did face a different attitude from the bartender Martina which was very rude to us and did not prepare the cocktail that we have asked and when we asked her for the cocktail that we wanted she started to argue saying that this is the cocktail and even start to laugh with her colleague and talking about us
563,I was shocked that at Bokan they still have people with this kind of attitude that don’t even bother about the guest requests
564,Very unprofessional
565,Really hope the management will take further actions.
566,Went for a drink at the bar but was ignored by staff
567,So I cannot comment on drinks or food
568,Restaurant might be nice but avoid the bar.
569,First waiting for a table at the entrance to see the staff letting others without reservation overtake us
570,Then at the table to waiter was so arrogant and rude that we simply left
571,Fantastic view though.
572,We visited the bar in December 2019
573,Waiting for a long time to be seated
574,Very nice views of London
575,Staff tends to ignore you
576,Cocktails served in different types of glasses
577,We did not enjoy the food in the restaurant.
578,This wasn’t my first time at Bokan’s but this time was disappointing
579,"Apart from the warm greeting by Constantine at our arrival and the spectacular views of London, the service, especially from one waitress was poor"
580,"It took a long time to order, she did not smile once and after ordering four drinks and four dishes, she presented the bill which already included 12.50% service charge demanding we pay it in full before taking one sip and well before receiving our food! If this is the bar’s policy (very peculiar to pay for food and service before even receiving it!), you should inform customers and explain it in a professional and friendly manner"
581,The food wasn’t even that great
582,Only worth the views
583,
584,"My wife and I celebrated our 1-year anniversary and booked Bokan, mostly for its lofty and impressive position on the 38th floor of the Novotel hotel in Canary Wharf, London"
585,"The view did not disappoint and we could see pretty much the whole of London from up there.Our table was booked for 8pm but they kept us waiting until 9pm, feeding us a constant stream of BS excuses (""The occupants of the table have just ordered another drink"", ""the occupants of the table have now asked for the bill, so it won't be much longer"", etc.)"
586,The waiting staff were patronising and inflexible and suggested that we ordered drinks at our expense until the table came free
587,At no time was any apology or solution offered
588,Bokan? Bo-can't.
589,"I ve been for the first time there, nice view but if you want some food at the bar, the best is to order the food first and the the drinks later, cuz it may take a while (in my case took more than 20 mins for some fries), the music is soo loud, it s like u re in a club, you can’t even have a discussion with the friends."
